date,bikes_hired,Baseline,A,B,C,D,E
2014-06-06,37440,30453.43665937,30879.73196196,32118.70880493,34190.66214748,34454.29792202,40830.69439920
2014-06-07,29919,33284.75887432,31468.35875013,29987.11258876,30257.63041516,29674.28062269,31551.07864565
2014-06-08,44415,33284.75887432,29282.85002267,29161.39572967,30779.08192744,32904.02621928,38797.40161972
2014-06-09,34305,34093.70807859,33711.47792518,31424.65225111,35150.25158039,36586.72754116,35552.70478794
2014-06-10,40128,33588.11482592,35492.29641053,35779.58744140,34715.32426738,34020.31880964,43273.88054475
2014-06-11,39582,31767.97911631,33638.39382286,33911.90720997,35134.75455157,36106.34154134,44528.47377886
2014-06-12,39928,33183.64022378,35129.35344372,35375.18519942,36456.19384418,39664.44902802,47299.59167909
2014-06-13,40036,33891.47077752,34313.84206488,34350.83249616,35398.64362325,37220.39834898,43783.63105769
2014-06-14,32758,31565.74181524,29751.30369867,27770.93074695,26424.93288252,28096.49460657,35362.27145580
2014-06-15,28944,30048.96205724,26050.74639639,25578.70645390,23719.12359530,27126.98522499,32981.61504848
2014-06-16,31592,29341.13150350,28964.32572407,27444.36856555,26575.72119480,28385.54904047,36015.26471324
2014-06-17,37658,30655.67396044,32563.20249921,33794.38078545,33461.99922863,33626.68395632,42085.35131565
2014-06-18,35431,30857.91126151,32729.36467797,31218.77090287,31483.82994381,34019.61915608,40843.84614020
2014-06-19,36113,29341.13150350,31291.23038751,29041.61582008,31942.58713979,32296.22967718,39005.89045115
2014-06-20,36924,30655.67396044,31081.73843860,31393.89954850,33761.84730567,35692.95253823,40302.18350626
2014-06-21,42463,32981.40292272,31165.34903517,32245.09637761,33885.69078455,34173.79287330,40356.70815112
2014-06-22,41596,32273.57236898,28272.81763946,28284.03358703,29433.89767427,30383.81246025,37973.43587337
2014-06-23,35206,33082.52157325,32701.44554196,31818.98845269,34129.92149640,35596.08860396,42206.10746500
2014-06-24,38066,32273.57236898,34179.25431235,32436.75809479,35440.25454290,35237.58709628,40791.89416002
2014-06-25,39623,29947.84340670,31820.33553308,32603.14357247,33324.83532803,35001.11259534,43382.77626746
2014-06-26,35438,30048.96205724,31998.25305576,32419.19000761,32267.90968737,34222.42182988,42199.04109557
2014-06-27,35912,32273.57236898,32697.79025174,31590.57483411,33426.87175199,31615.24920324,34443.39471812
2014-06-28,20199,30048.96205724,28236.25512385,25839.22404889,25884.04061497,25693.04351842,29234.85451997
2014-06-29,26714,29341.13150350,25343.72372814,23472.83061059,22873.43353874,24524.71826891,33660.83268265
2014-06-30,32193,30251.19935830,29873.35486896,29491.56285654,29984.84671684,30778.76329782,36875.44444890
2014-07-01,39495,31060.14856257,32967.21545249,33999.98868888,34663.61070400,35403.73891405,43679.55275523
2014-07-02,40878,31767.97911631,33638.39382286,34234.87821803,37309.04277188,38603.92731979,44283.85507702
2014-07-03,43116,35408.25053553,37351.42468679,39796.29581285,39562.29378383,38261.08331938,46109.54655051
2014-07-04,38316,35509.36918606,35929.89387803,37817.58923834,39922.61873851,37729.28985401,42950.20850946
2014-07-05,27332,33183.64022378,31367.35551181,29098.00456076,27839.26851674,29043.11980002,36067.75849734
2014-07-06,31117,32172.45371845,28171.81440114,27839.01069511,27746.54041639,27941.13785655,31553.01417468
2014-07-07,36191,31161.26721311,30782.38401386,31316.71457949,33812.12040181,33958.44600216,36373.45957927
2014-07-08,35107,31060.14856257,32967.21545249,32708.10465665,33510.16407514,34355.73355779,38670.92557196
2014-07-09,38844,32172.45371845,34042.40677615,34803.82850552,35169.75398129,30841.67006317,34884.62513918
2014-07-10,32108,30251.19935830,32200.25953240,30563.98222298,27763.04194646,27127.73623957,32477.76001970
2014-07-11,27618,30352.31800884,30778.72872364,26869.49216817,25852.85924349,23157.48251168,27634.47841652
2014-07-12,38331,32779.16562165,30963.34255853,27782.18381714,30264.05439690,27811.86940966,34925.99525677
2014-07-13,33227,34397.06403019,30393.88564421,28061.49820381,28582.12391053,25731.88407099,25643.68656347
2014-07-14,38450,33082.52157325,32701.44554196,34059.59982108,36077.87212428,36319.22696546,41765.33858901
2014-07-15,40888,35206.01323446,37108.34822367,37086.47556720,36622.08362850,37195.12721985,44667.97297843
2014-07-16,42341,35610.48783660,37476.51687907,36995.58082074,39178.07433410,39404.93868540,45272.68638429
2014-07-17,42404,36621.67434193,38563.46354665,37667.86595466,37823.21098778,38733.57635849,46320.06276450
2014-07-18,40543,38441.81005154,38858.98778935,37521.81314988,40459.12538303,34922.03522615,38377.90592772
2014-07-19,37061,37835.09814834,36013.50447460,34591.27709074,35276.61151365,31173.44657248,26299.82391725
2014-07-20,34379,36116.08108926,32110.94069567,29429.88114947,29684.31847192,29837.18307511,32525.58204460
2014-07-21,38499,35913.84378820,35529.53621496,33561.02909675,34932.58285834,35552.51454060,41013.40829062
2014-07-22,42928,35206.01323446,37108.34822367,35814.77722298,38041.80932347,38523.22916293,44316.23631336
2014-07-23,42486,36419.43704087,38284.54278564,37770.13901166,40072.66349341,38339.85922012,43974.68892171
2014-07-24,42412,36722.79299247,38664.46678497,39142.35893476,39919.45335478,38647.59445243,45335.31602440
2014-07-25,31881,36014.96243873,36434.91006963,35420.18114516,38114.74480995,37333.48740960,40024.11717869
2014-07-26,43788,37531.74219674,35710.49475963,35779.41941540,36698.68441336,36869.85658163,42163.53381038
2014-07-27,39917,36217.19973980,32211.94393399,32599.97192187,30580.44366376,31056.30718529,35146.35575624
2014-07-28,36203,33082.52157325,32701.44554196,31919.91689271,30430.66193174,29685.36199909,28146.46044533
2014-07-29,42308,35408.25053553,37310.35470031,37815.03584702,38284.60172037,40341.29796733,45093.10513740
2014-07-30,43044,34801.53863232,36668.49097250,38279.96280618,38888.52071574,40133.36582679,45903.35781322
2014-07-31,41970,34902.65728286,36846.40849518,37127.09621714,38218.04398865,37466.85803427,42130.77062603
2014-08-01,40009,34498.18268072,34919.86149481,34517.94453528,34950.69170334,35085.29495835,40643.41005517
2014-08-02,38046,34295.94537966,32478.39113335,31207.63142746,31944.98224691,31002.87762675,34594.12738756
2014-08-03,41944,33183.64022378,29181.84678435,31401.06934221,31789.36066624,31945.47836727,37553.64382651
2014-08-04,39856,33689.23347645,33307.46497189,35074.51075635,35876.98897195,37359.85136862,41262.53456702
2014-08-05,40716,34093.70807859,35997.31260213,36813.74630882,36183.49165236,36773.97121188,41985.49686233
2014-08-06,38665,35307.13188499,37173.50716411,36346.82553708,37143.85448008,35716.53043808,38045.84017320
2014-08-07,42491,35104.89458393,37048.41497183,36462.84402472,37384.78369589,37201.70279995,41287.41486064
2014-08-08,34234,34801.53863232,35222.87120978,32078.28955440,32112.40400923,31020.55778582,32646.87315017
2014-08-09,47454,33385.87752485,31569.36198845,31623.09107290,32198.34695199,26873.33273981,27873.53985775
2014-08-10,23980,32779.16562165,28777.83383106,27218.88090209,27406.51502275,21843.04668275,22636.77470097
2014-08-11,31725,31666.86046578,31287.40020546,32391.24482292,32655.32213050,30448.74689382,35203.88594358
2014-08-12,34827,31161.26721311,33068.21869081,34303.71176478,33580.96101533,31904.14729427,38110.43195173
2014-08-13,37856,32172.45371845,34042.40677615,35086.42813757,35862.23050300,34859.60172621,39214.99044355
